from,to,relationship
JL,SetUp,1
JL,TaTePa,1
JL,EuAl,1
JL,CoAl,1
JL,USCM,1
MT,RCC,1
MT,VLC,1
MT,VoZu,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TaTePa,1
ET,AlAp,1
ET,EuTw,1
ET,LBA,1
HK,VfBU,1
HK,OlySt,1
HK,BuSt,1
IVV,AsKi,1
IVV,RCC,1
IVV,IBF,1
IVV,CaLe,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KSP,1
JN,SMS,1
SL,KAF,1
SL,Bey,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VfBS,1
HJ,VCS,1
HD,MTVSt,1
HD,BuSt,1
KR,UniA,1
KR,BeAn,1
KR,LuBa,1
LB,FVT,1
LB,BuSt,1
LB,VCOB,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HaLe,1
RK,Ki,1
RK,SoPa,1
LG,MTVj,1
LG,BuSt,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IVV,BEL,2
JN,POL,2
SL,USA,2
MSP,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2
JL,MT,3
JL,ET,3
JL,HK,3
JL,IVV,3
JL,JN,3
JL,SL,3
JL,MSP,3
JL,HJ,3
JL,HD,3
JL,KR,3
JL,LB,3
JL,RK,3
JL,LG,3
MT,JL,3
MT,ET,3
MT,HK,3
MT,IVV,3
MT,JN,3
MT,SL,3
MT,MSP,3
MT,HJ,3
MT,HD,3
MT,KR,3
MT,LB,3
MT,RK,3
MT,LG,3
ET,JL,3
ET,MT,3
ET,HK,3
ET,IVV,3
ET,JN,3
ET,SL,3
ET,MSP,3
ET,HJ,3
ET,HD,3
ET,KR,3
ET,LB,3
ET,RK,3
ET,LG,3
HK,JL,3
HK,MT,3
HK,ET,3
HK,IVV,3
HK,JN,3
HK,SL,3
HK,MSP,3
HK,HJ,3
HK,HD,3
HK,KR,3
HK,LB,3
HK,RK,3
IVV,JL,3
IVV,MT,3
IVV,ET,3
IVV,HK,3
IVV,JN,3
IVV,SL,3
IVV,MSP,3
IVV,HJ,3
IVV,HD,3
IVV,KR,3
IVV,LB,3
IVV,RK,3
IVV,LG,3
JN,JL,3
JN,MT,3
JN,ET,3
JN,HK,3
JN,IVV,3
JN,SL,3
JN,MSP,3
JN,HJ,3
JN,HD,3
JN,KR,3
JN,LB,3
JN,RK,3
JN,LG,3
SL,JL,3
SL,MT,3
SL,ET,3
SL,HK,3
SL,IVV,3
SL,JN,3
SL,MSP,3
SL,HJ,3
SL,HD,3
SL,KR,3
SL,LB,3
SL,RK,3
SL,LG,3
MSP,JL,3
MSP,MT,3
MSP,ET,3
MSP,HK,3
MSP,IVV,3
MSP,JN,3
MSP,SL,3
MSP,HJ,3
MSP,HD,3
MSP,KR,3
MSP,LB,3
MSP,RK,3
MSP,LG,3
HJ,JL,3
HJ,MT,3
HJ,ET,3
HJ,HK,3
HJ,IVV,3
HJ,JN,3
HJ,SL,3
HJ,MSP,3
HJ,HD,3
HJ,KR,3
HJ,LB,3
HJ,RK,3
HJ,LG,3
HD,JL,3
HD,MT,3
HD,ET,3
HD,HK,3
HD,IVV,3
HD,JN,3
HD,SL,3
HD,MSP,3
HD,HJ,3
HD,KR,3
HD,LB,3
HD,RK,3
HD,LG,3
KR,JL,3
KR,MT,3
KR,ET,3
KR,HK,3
KR,IVV,3
KR,JN,3
KR,SL,3
KR,MSP,3
KR,HJ,3
KR,HD,3
KR,LB,3
KR,RK,3
KR,LG,3
LB,JL,3
LB,MT,3
LB,ET,3
LB,HK,3
LB,IVV,3
LB,JN,3
LB,SL,3
LB,MSP,3
LB,HJ,3
LB,HD,3
LB,KR,3
LB,RK,3
LB,LG,3
RK,JL,3
RK,MT,3
RK,ET,3
RK,HK,3
RK,IVV,3
RK,JN,3
RK,SL,3
RK,MSP,3
RK,HJ,3
RK,HD,3
RK,KR,3
RK,LB,3
RK,LG,3
LG,JL,3
LG,MT,3
LG,ET,3
LG,HK,3
LG,IVV,3
LG,JN,3
LG,SL,3
LG,MSP,3
LG,HJ,3
LG,HD,3
LG,KR,3
LG,LB,3
LG,RK,3
